parameter,n,bits_security,nist_level,data_encryption_time_s,query_encryption_time_s,data_decryption_time_s,query_execution_latency_s,query_throughput_per_s,overall_model_throughput_per_s,overall_model_latency_s,false_trust_acceptance_rate,num_data,num_queries,num_malicious,malicious_accepted
PARA.512,512,143,1,0.5717382000293583,0.10083375998656266,0.0004178000381216407,0.10106101998244413,9.895011945987836,9.477078801041033,1.5827661998919211,0.0,5,10,5,0
PARA.768,768,207,3,1.2900252000545152,0.23326665999484247,0.0004455999587662518,0.23355681000393816,4.2816135396914285,4.136745471699752,3.626038900052663,0.0,5,10,5,0
PARA.1024,1024,272,5,3.708508499956224,0.8918070100073237,0.0009051000233739614,0.8932182700140401,1.1195471852409393,1.1865590107364536,12.64159630012,0.0,5,10,5,0
