parameter,n,bits_security,nist_level,data_encryption_time_s,query_encryption_time_s,data_decryption_time_s,query_execution_latency_s,query_throughput_per_s,overall_model_throughput_per_s,overall_model_latency_s,false_trust_acceptance_rate,num_data,num_queries,num_malicious,malicious_accepted
PARA.512,512,143,1,0.33329219999723136,0.07325538998702541,0.00025759998243302107,0.0733802399772685,13.6276469020785,14.053468015037913,1.0673521997523494,0.0,5,10,5,0
PARA.768,768,207,3,1.0762466000160202,0.25845244999509304,0.0007038000039756298,0.25882958999136463,3.8635458953258133,4.092494411704766,3.665246299933642,0.0,5,10,5,0
PARA.1024,1024,272,5,3.450506899971515,0.7547654900059569,0.0010216999799013138,0.7553834699909203,1.3238309279021157,1.3629718157682238,11.005363299860619,0.0,5,10,5,0
